University of Warwick | Leamington | Sydenham,,,,,,,,,,,,,,,,,,,,,,,
Mondays to Fridays ,,Col ,Chol ,,,Col ,Chol ,,,,,,,Col ,,Col,,,,,,,
Leamington Upper Parade Stand ,714,714,739,744,814,848,918,1002,1032,1102,1132,1202,1232,1302,1332,1402,,,,,,,
University of Warwick  Interchange (UW1) ,739,739,804,809,842,912,942,1028,1058,1128,1158,1228,1258,1328,1358,1428,,,,,,,
University of Warwick  The Gatehouse  (UR1) ,742,742,807,812,845,915,945,1031,1101,1131,1201,1231,1301,1331,1401,1431,,,,,,,
University of Warwick  Humanities (UR3) ,744,744,809,814,847,917,947,1033,1103,1133,1203,1233,1303,1333,1403,1433,,,,,,,
University of Warwick  Interchange UW2 ,,747,,817,850,920,950,1038,1108,1138,1208,1238,1308,1338,1408,1438,,,,,,,
WMG Academy ,750,,815,,,,,,,,,,,,,,,,,,,,
[BREAK]
,,,,,,,,Col,,,,,,,,,,,,,,,
Sydenham  Gainsborough Dr ,1413,1443,1513,1543,1613,1643,1713,1723,1743,1753,1813,1841,1911,1943,2049,2146,2306,,,,,,
St Helens Road ,1418,1448,1518,1548,1618,1648,1718,1728,1748,1758,1818,1846,1916,1948,2054,2151,2311,,,,,,
Leamingtonn Opp Parish Church ,1425,1455,1525,1555,1625,1655,1725,1735,1755,1805,1825,1853,1921,1955,2101,2156,2316,,,,,,
Leamington Upper Parade Stand ,1432,1502,1532,1602,1632,1702,1732,1742,1802,1812,1830,1858,,2000,2106,,,,,,,,
University of Warwick  Interchange (UW1) ,1458,1528,1558,1628,1658,1728,1759,1806,1829,1836,1854,1924,,2024,2130,,,,,,,,
University of Warwick  The Gatehouse  (UR1) ,1501,1531,1601,1631,1701,1731,1802,1809,1832,1839,,1927,,2027,2133,,,,,,,,
University of Warwick  Humanities (UR3) ,1503,1533,1603,1633,1703,1733,1804,1811,1834,1841,,1929,,2029,2135,,,,,,,,
University of Warwick  Interchange UW2 ,1508,1538,1608,1638,1708,1738,1808,,1838,,,1932,,2032,2138,,,,,,,,
WMG Academy ,,,,,,,,1817,,1847,,,,,,,,,,,,,
[BREAK]
Saturdays ,U2, U2 ,U2 ,U2 ,U2 ,U2 ,U2 ,U2 ,U2 ,U2 ,U2 ,U2 ,U2 ,U2 ,U2 ,U2,,,,,,,
Sydenham Gainsborough Dr ,727,757,827,857,927,957,1027,1057,1127,1157,1227,1257,1327,1357,1427,1457,,,,,,,
St Helens Road ,732,802,832,902,932,1002,1032,1102,1132,1202,1232,1302,1332,1402,1432,1502,,,,,,,
Leamington Opp Parish Church ,739,809,839,909,939,1009,1039,1109,1139,1209,1239,1309,1339,1409,1439,1509,,,,,,,
Leamington Upper Parade Stand F ,743,813,843,913,943,1013,1043,1113,1143,1213,1243,1313,1343,1413,1443,1513,,,,,,,
Kenilworth Clock ,755,825,855,925,955,1025,1055,1125,1155,1225,1255,1325,1355,1425,1455,1525,,,,,,,
Albion Street Wyandotte ,758,828,858,928,958,1028,1058,1128,1158,1228,1258,1328,1358,1428,1458,1528,,,,,,,
University of Warwick Interchange (UW1) ,811,841,911,941,1011,1041,1111,1141,1211,1241,1311,1341,1411,1441,1511,1541,,,,,,,
University of Warwick The Gatehouse (UR1) ,813,843,913,943,1013,1043,1113,1143,1213,1243,1313,1343,1413,1443,1513,1543,,,,,,,
University of Warwick Humanities (UR3) ,815,845,915,945,1015,1045,1115,1145,1215,1245,1315,1345,1415,1445,1515,1545,,,,,,,
University of Warwick Interchange UW2 ,818,848,918,948,1018,1048,1118,1148,1218,1248,1318,1348,1418,1448,1518,1548,,,,,,,
[BREAK]
,U2, U2 ,U2 ,U2 ,U2 ,U1 ,U1 ,U1 ,U1 ,U1 ,U1 ,U1,,,,,,,,,,,
Sydenham Gainsborough Dr ,1527,1557,1627,1657,1727,1757,1827,1849,1939,2039,2139,2309,,,,,,,,,,,
St Helens Road ,1532,1602,1632,1702,1732,1802,1832,1854,1944,2044,2144,2314,,,,,,,,,,,
Leamington Opp Parish Church ,1539,1609,1639,1709,1739,1808,1837,1859,1949,2049,2149,2319,,,,,,,,,,,
Leamington Upper Parade Stand F ,1543,1613,1643,1713,1743,,1841,,1953,2053,,,,,,,,,,,,,
Kenilworth Clock ,1555,1625,1655,1725,1755,,,,,,,,,,,,,,,,,,
Albion Street Wyandotte ,1558,1628,1658,1728,1758,,,,,,,,,,,,,,,,,,
University of Warwick Interchange (UW1) ,1611,1641,1711,1741,1811,,1906,,2009,2109,,,,,,,,,,,,,
University of Warwick The Gatehouse (UR1) ,1613,1643,1713,1743,1813,,1908,,2010,2110,,,,,,,,,,,,,
University of Warwick Humanities (UR3) ,1615,1645,1715,1745,1815,,1910,,2012,2112,,,,,,,,,,,,,
University of Warwick Interchange UW2 ,1618,1648,1718,1748,1818,,1913,,2015,2115,,,,,,,,,,,,,
[BREAK]
Sundays,,,,,,,,,,,,,,,,,,,,,,,
,U17, U17, U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17,,,,,
Sydenham Gainsborough Dr ,,840,900,920,940,1000,1020,1040,1100,1120,1140,1200,1220,1240,1300,1320,1340,1400,,,,,
St Helens Road ,,845,905,925,945,1005,1025,1045,1105,1125,1145,1205,1225,1245,1305,1325,1345,1405,,,,,
LN Opposite Parish Church ,751,851,911,931,951,1011,1031,1051,1111,1131,1151,1211,1231,1251,1311,1331,1351,1411,,,,,
Leamington Upper Parade Stand F ,801,901,921,941,1001,1021,1041,1101,1121,1141,1201,1221,1241,1301,1321,1341,1401,1421,,,,,
Kenilworth Clock ,813,913,933,953,1013,1033,1053,1113,1133,1153,1213,1233,1253,1313,1333,1353,1413,1433,,,,,
Albion Street Wyandotte ,816,916,936,956,1016,1036,1056,1116,1136,1156,1216,1236,1256,1316,1336,1356,1416,1436,,,,,
University of Warwick UW5 ,830,930,950,1010,1030,1050,1110,1130,1150,1210,1230,1250,1310,1330,1350,1410,1430,1450,,,,,
Coventry Kenpas Highway ,840,940,1000,1020,1040,1100,1120,1140,1200,1220,1240,1300,1320,1340,1400,1420,1440,1500,,,,,
Coventry Park & Ride Arrive ,843,943,1003,1023,1043,1103,1123,1143,1203,1223,1243,1303,1323,1343,1403,1423,1443,1503,,,,,
Coventry Rail Station ,849,949,1009,1029,1049,1109,1129,1149,1209,1229,1249,1309,1329,1349,1409,1429,1449,1509,,,,,
Coventry Sainsbury's Stop AB ,855,955,1015,1035,1055,1115,1135,1155,1215,1235,1255,1315,1335,1355,1415,1435,1455,1515,,,,,
[BREAK]
,U17, U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17,,,,
Sydenham Gainsborough Dr ,1420,1440,1500,1520,1540,1600,1620,1640,1700,1720,1740,1800,1820,1840,1900,1930,2000,2100,2200,,,,
St Helens Road ,1425,1445,1505,1525,1545,1605,1625,1645,1705,1725,1745,1805,1825,1845,1905,1935,2005,2105,2205,,,,
LN Opposite Parish Church ,1431,1451,1511,1531,1551,1611,1631,1651,1711,1731,1751,1811,1831,1851,1911,1941,2010,2110,2210,,,,
Leamington Upper Parade Stand F ,1441,1501,1521,1541,1601,1621,1641,1701,1721,,1801,1821,,,1931,,2014,2114,2214,,,,
Kenilworth Clock ,1453,1513,1533,1553,1613,1633,1653,1713,1733,,1813,1833,,,1943,,,,,,,,
Albion Street Wyandotte ,1456,1516,1536,1556,1616,1636,1656,1716,1736,,1816,1836,,,1946,,,,,,,,
University of Warwick UW5 ,1510,1530,1550,1610,1630,1650,1710,1730,1750,,1830,1850,,,2000,,2030,2130,2230,,,,
Coventry Kenpas Highway ,1520,1540,1600,1620,1640,1700,1720,1740,1800,,1840,1900,,,,,,,,,,,
Coventry Park & Ride Arrive ,1523,1543,1603,1623,1643,1703,1723,1743,1803,,1843,1903,,,,,,,,,,,
Coventry Rail Station ,1529,1549,1609,1629,1649,1709,1729,1749,1809,,1849,1909,,,,,,,,,,,
